year,month,day,ofns_desc,count
2010,1,1,ADMINISTRATIVE CODE,1
2010,1,1,ALCOHOLIC BEVERAGE CONTROL LAW,3
2010,1,1,ARSON,9
2010,1,1,ASSAULT 3 & RELATED OFFENSES,279
2010,1,1,BURGLARY,44
2010,1,1,CRIMINAL MISCHIEF & RELATED OF,455
2010,1,1,CRIMINAL TRESPASS,22
2010,1,1,DANGEROUS DRUGS,122
2010,1,1,DANGEROUS WEAPONS,41
2010,1,1,FELONY ASSAULT,103
2010,1,1,FORGERY,10
2010,1,1,FRAUDS,32
2010,1,1,GRAND LARCENY,126
2010,1,1,GRAND LARCENY OF MOTOR VEHICLE,31
2010,1,1,HARRASSMENT 2,189
2010,1,1,HOMICIDE-NEGLIGENT-VEHICLE,1
2010,1,1,INTOXICATED & IMPAIRED DRIVING,56
2010,1,1,KIDNAPPING & RELATED OFFENSES,2
2010,1,1,MISCELLANEOUS PENAL LAW,49
2010,1,1,MURDER & NON-NEGL. MANSLAUGHTER,3
2010,1,1,NYS LAWS-UNCLASSIFIED FELONY,2
2010,1,1,OFF. AGNST PUB ORD SENSBLTY &,145
2010,1,1,OFFENSES AGAINST PUBLIC ADMINI,45
2010,1,1,OFFENSES AGAINST PUBLIC SAFETY,1
2010,1,1,OFFENSES AGAINST THE PERSON,4
2010,1,1,OFFENSES INVOLVING FRAUD,14
2010,1,1,OTHER OFFENSES RELATED TO THEF,2
2010,1,1,OTHER STATE LAWS (NON PENAL LA,1
2010,1,1,PETIT LARCENY,202
2010,1,1,POSSESSION OF STOLEN PROPERTY,5
2010,1,1,RAPE,43
2010,1,1,ROBBERY,61
2010,1,1,SEX CRIMES,128
2010,1,1,THEFT-FRAUD,87
2010,1,1,UNAUTHORIZED USE OF A VEHICLE,4
2010,1,1,VEHICLE AND TRAFFIC LAWS,20
2010,1,2,ADMINISTRATIVE CODE,2
2010,1,2,ARSON,7
2010,1,2,ASSAULT 3 & RELATED OFFENSES,129
2010,1,2,BURGLARY,46
2010,1,2,CRIMINAL MISCHIEF & RELATED OF,135
2010,1,2,CRIMINAL TRESPASS,43
2010,1,2,DANGEROUS DRUGS,70
2010,1,2,DANGEROUS WEAPONS,29
2010,1,2,FELONY ASSAULT,24
2010,1,2,FORGERY,15
2010,1,2,FRAUDS,7
2010,1,2,FRAUDULENT ACCOSTING,1
2010,1,2,GRAND LARCENY,94
2010,1,2,GRAND LARCENY OF MOTOR VEHICLE,26
2010,1,2,HARRASSMENT 2,98
2010,1,2,INTOXICATED & IMPAIRED DRIVING,15
2010,1,2,MISCELLANEOUS PENAL LAW,20
2010,1,2,MURDER & NON-NEGL. MANSLAUGHTER,2
2010,1,2,OFF. AGNST PUB ORD SENSBLTY &,82
2010,1,2,OFFENSES AGAINST PUBLIC ADMINI,21
2010,1,2,OFFENSES AGAINST THE PERSON,4
2010,1,2,OFFENSES INVOLVING FRAUD,11
2010,1,2,OTHER OFFENSES RELATED TO THEF,1
2010,1,2,OTHER STATE LAWS (NON PENAL LA,1
2010,1,2,PETIT LARCENY,194
2010,1,2,POSSESSION OF STOLEN PROPERTY,4
2010,1,2,PROSTITUTION & RELATED OFFENSES,1
2010,1,2,RAPE,6
2010,1,2,ROBBERY,44
2010,1,2,SEX CRIMES,15
2010,1,2,THEFT-FRAUD,9
2010,1,2,UNAUTHORIZED USE OF A VEHICLE,5
2010,1,2,VEHICLE AND TRAFFIC LAWS,14
2010,1,3,ARSON,4
2010,1,3,ASSAULT 3 & RELATED OFFENSES,129
2010,1,3,BURGLAR'S TOOLS,1
2010,1,3,BURGLARY,24
2010,1,3,CRIMINAL MISCHIEF & RELATED OF,136
2010,1,3,CRIMINAL TRESPASS,27
2010,1,3,DANGEROUS DRUGS,54
2010,1,3,DANGEROUS WEAPONS,21
2010,1,3,FELONY ASSAULT,24
2010,1,3,FORGERY,5
2010,1,3,FRAUDS,7
2010,1,3,GAMBLING,1
2010,1,3,GRAND LARCENY,62
2010,1,3,GRAND LARCENY OF MOTOR VEHICLE,26
2010,1,3,HARRASSMENT 2,138
2010,1,3,INTOXICATED & IMPAIRED DRIVING,13
2010,1,3,JOSTLING,1
2010,1,3,KIDNAPPING & RELATED OFFENSES,2
2010,1,3,MISCELLANEOUS PENAL LAW,18
2010,1,3,NYS LAWS-UNCLASSIFIED FELONY,1
2010,1,3,OFF. AGNST PUB ORD SENSBLTY &,77
2010,1,3,OFFENSES AGAINST PUBLIC ADMINI,20
2010,1,3,OFFENSES INVOLVING FRAUD,8
2010,1,3,OTHER OFFENSES RELATED TO THEF,3
2010,1,3,PETIT LARCENY,161
2010,1,3,POSSESSION OF STOLEN PROPERTY,4
2010,1,3,RAPE,3
2010,1,3,ROBBERY,44
2010,1,3,SEX CRIMES,9
2010,1,3,THEFT-FRAUD,3
2010,1,3,UNAUTHORIZED USE OF A VEHICLE,4
2010,1,3,VEHICLE AND TRAFFIC LAWS,11
2010,1,4,ARSON,6
2010,1,4,ASSAULT 3 & RELATED OFFENSES,108
2010,1,4,BURGLARY,59
2010,1,4,CRIMINAL MISCHIEF & RELATED OF,128
2010,1,4,CRIMINAL TRESPASS,17
2010,1,4,DANGEROUS DRUGS,40
2010,1,4,DANGEROUS WEAPONS,24
2010,1,4,DISORDERLY CONDUCT,1
2010,1,4,FELONY ASSAULT,36
2010,1,4,FORGERY,8
2010,1,4,FRAUDS,12
2010,1,4,GAMBLING,1
2010,1,4,GRAND LARCENY,101
2010,1,4,GRAND LARCENY OF MOTOR VEHICLE,37
2010,1,4,HARRASSMENT 2,155
2010,1,4,INTOXICATED & IMPAIRED DRIVING,9
2010,1,4,MISCELLANEOUS PENAL LAW,27
2010,1,4,NYS LAWS-UNCLASSIFIED FELONY,2
2010,1,4,OFF. AGNST PUB ORD SENSBLTY &,82
2010,1,4,OFFENSES AGAINST PUBLIC ADMINI,22
2010,1,4,OFFENSES AGAINST THE PERSON,4
