year,month,day,ofns_desc,count
2008,1,1,ADMINISTRATIVE CODE,4
2008,1,1,ARSON,5
2008,1,1,ASSAULT 3 & RELATED OFFENSES,251
2008,1,1,BURGLARY,41
2008,1,1,CRIMINAL MISCHIEF & RELATED OF,287
2008,1,1,CRIMINAL TRESPASS,14
2008,1,1,DANGEROUS DRUGS,70
2008,1,1,DANGEROUS WEAPONS,39
2008,1,1,FELONY ASSAULT,130
2008,1,1,FORGERY,8
2008,1,1,FRAUDS,51
2008,1,1,GRAND LARCENY,223
2008,1,1,GRAND LARCENY OF MOTOR VEHICLE,29
2008,1,1,HARRASSMENT 2,195
2008,1,1,INTOXICATED & IMPAIRED DRIVING,41
2008,1,1,INTOXICATED/IMPAIRED DRIVING,1
2008,1,1,MISCELLANEOUS PENAL LAW,53
2008,1,1,MURDER & NON-NEGL. MANSLAUGHTER,4
2008,1,1,NYS LAWS-UNCLASSIFIED FELONY,1
2008,1,1,OFF. AGNST PUB ORD SENSBLTY &,183
2008,1,1,OFFENSES AGAINST PUBLIC ADMINI,43
2008,1,1,OFFENSES AGAINST THE PERSON,4
2008,1,1,OFFENSES INVOLVING FRAUD,1
2008,1,1,OTHER OFFENSES RELATED TO THEF,4
2008,1,1,OTHER STATE LAWS (NON PENAL LA,1
2008,1,1,PETIT LARCENY,199
2008,1,1,POSSESSION OF STOLEN PROPERTY,4
2008,1,1,RAPE,47
2008,1,1,ROBBERY,53
2008,1,1,SEX CRIMES,118
2008,1,1,THEFT-FRAUD,135
2008,1,1,UNAUTHORIZED USE OF A VEHICLE,5
2008,1,1,VEHICLE AND TRAFFIC LAWS,18
2008,1,2,ADMINISTRATIVE CODE,5
2008,1,2,ARSON,8
2008,1,2,ASSAULT 3 & RELATED OFFENSES,97
2008,1,2,BURGLAR'S TOOLS,1
2008,1,2,BURGLARY,55
2008,1,2,CRIMINAL MISCHIEF & RELATED OF,121
2008,1,2,CRIMINAL TRESPASS,35
2008,1,2,DANGEROUS DRUGS,109
2008,1,2,DANGEROUS WEAPONS,38
2008,1,2,DISORDERLY CONDUCT,1
2008,1,2,FELONY ASSAULT,24
2008,1,2,FORGERY,13
2008,1,2,FRAUDS,13
2008,1,2,FRAUDULENT ACCOSTING,2
2008,1,2,GRAND LARCENY,102
2008,1,2,GRAND LARCENY OF MOTOR VEHICLE,35
2008,1,2,HARRASSMENT 2,154
2008,1,2,INTOXICATED & IMPAIRED DRIVING,12
2008,1,2,LOITERING FOR DRUG PURPOSES,1
2008,1,2,MISCELLANEOUS PENAL LAW,25
2008,1,2,MURDER & NON-NEGL. MANSLAUGHTER,1
2008,1,2,OFF. AGNST PUB ORD SENSBLTY &,83
2008,1,2,OFFENSES AGAINST PUBLIC ADMINI,18
2008,1,2,OFFENSES AGAINST THE PERSON,1
