year,month,day,metric,count
2018,1,10,Debt Subject to Limit::Balance Transactions::Debt Held by the Public::Closing balance,14827222
2018,1,10,Debt Subject to Limit::Balance Transactions::Intragovernmental Holdings::Closing balance,5665697
2018,1,10,Debt Subject to Limit::Balance Transactions::Total Public Debt Outstanding::Closing balance,20492919
2018,1,10,Debt Subject to Limit::Balance Transactions::Less: Debt Not Subject to Limit::Other Debt::Closing balance,481
2018,1,10,Debt Subject to Limit::Balance Transactions::Less: Debt Not Subject to Limit::Unamortized Discount::Closing balance,25006
2018,1,10,Debt Subject to Limit::Balance Transactions::Less: Debt Not Subject to Limit::Federal Financing Bank::Closing balance,11457
2018,1,10,Debt Subject to Limit::Balance Transactions::Less: Debt Not Subject to Limit::Hope Bonds::Closing balance,0
2018,1,10,Debt Subject to Limit::Balance Transactions::Plus: Other Debt Subject to Limit Guaranteed Debt of Government Agencies::Closing balance,0
2018,1,10,Debt Subject to Limit::Balance Transactions::Total Public Debt Subject to Limit::Closing balance,20455975
2018,1,10,Debt Subject to Limit::Balance Transactions::Statutory Debt Limit::Closing balance,20456000
2018,1,10,Debt Subject to Limit::Balance Transactions::Debt Held by the Public::Opening balance,14814465
2018,1,10,Debt Subject to Limit::Balance Transactions::Intragovernmental Holdings::Opening balance,5678530
2018,1,10,Debt Subject to Limit::Balance Transactions::Total Public Debt Outstanding::Opening balance,20492995
2018,1,10,Debt Subject to Limit::Balance Transactions::Less: Debt Not Subject to Limit::Other Debt::Opening balance,481
2018,1,10,Debt Subject to Limit::Balance Transactions::Less: Debt Not Subject to Limit::Unamortized Discount::Opening balance,25082
2018,1,10,Debt Subject to Limit::Balance Transactions::Less: Debt Not Subject to Limit::Federal Financing Bank::Opening balance,11457
2018,1,10,Debt Subject to Limit::Balance Transactions::Less: Debt Not Subject to Limit::Hope Bonds::Opening balance,0
2018,1,10,Debt Subject to Limit::Balance Transactions::Plus: Other Debt Subject to Limit Guaranteed Debt of Government Agencies::Opening balance,0
2018,1,10,Debt Subject to Limit::Balance Transactions::Total Public Debt Subject to Limit::Opening balance,20455975
2018,1,10,Debt Subject to Limit::Balance Transactions::Statutory Debt Limit::Opening balance,20456000
