year,month,day,metric,count
2017,12,7,Federal Tax Deposits::Classification::Withheld Income and Employment Taxes,2986
2017,12,7,Federal Tax Deposits::Classification::Individual Income Taxes,121
2017,12,7,Federal Tax Deposits::Classification::Railroad Retirement Taxes,4
2017,12,7,Federal Tax Deposits::Classification::Excise Taxes,14
2017,12,7,Federal Tax Deposits::Classification::Corporation Income Taxes,146
2017,12,7,Federal Tax Deposits::Classification::Federal Unemployment Taxes,1
2017,12,7,Federal Tax Deposits::Classification::Estate and Gift Taxes & Misc IRS Rcpts.,3
2017,12,7,Federal Tax Deposits::Classification::Total,3274
2017,12,7,Federal Tax Deposits::Classification::Cash Federal Tax Deposits::Direct,64
2017,12,7,Federal Tax Deposits::Classification::Cash Federal Tax Deposits::Through Depositaries,2991
2017,12,7,Federal Tax Deposits::Classification::Cash Federal Tax Deposits::Total Cash FTD's,3055
2017,12,7,Federal Tax Deposits::Classification::Inter-agency Transfers,219
2017,12,7,Federal Tax Deposits::Classification::Total,3274
