year,msa,offense_category,count
2005.0,"Ames, IA M.S.A.",murder_and_nonnegligent_manslaughter,0.0
2005.0,"Ames, IA M.S.A.",robbery,18.0
2005.0,"Anchorage, AK M.S.A.",aggravated_assault,1557.0
2005.0,"Anchorage, AK M.S.A.",burglary,1882.0
2005.0,"Anchorage, AK M.S.A.",forcible_rape,228.0
2005.0,"Anchorage, AK M.S.A.",larceny_theft,9165.0
2005.0,"Anchorage, AK M.S.A.",motor_vehicle_theft,1423.0
2005.0,"Anchorage, AK M.S.A.",murder_and_nonnegligent_manslaughter,16.0
2005.0,"Anchorage, AK M.S.A.",robbery,397.0
2005.0,"Anderson, IN M.S.A.",aggravated_assault,99.0
2005.0,"Anderson, IN M.S.A.",burglary,851.0
2005.0,"Anderson, IN M.S.A.",forcible_rape,22.0
2005.0,"Anderson, IN M.S.A.",larceny_theft,3106.0
2005.0,"Anderson, IN M.S.A.",motor_vehicle_theft,232.0
2005.0,"Anderson, IN M.S.A.",murder_and_nonnegligent_manslaughter,3.0
2005.0,"Anderson, IN M.S.A.",robbery,76.0
2005.0,"Anderson, SC M.S.A.",aggravated_assault,849.0
2005.0,"Anderson, SC M.S.A.",burglary,2083.0
2005.0,"Anderson, SC M.S.A.",forcible_rape,68.0
2005.0,"Anderson, SC M.S.A.",larceny_theft,5889.0
2005.0,"Anderson, SC M.S.A.",motor_vehicle_theft,813.0
2005.0,"Anderson, SC M.S.A.",murder_and_nonnegligent_manslaughter,16.0
2005.0,"Anderson, SC M.S.A.",robbery,160.0
2005.0,"Ann Arbor, MI M.S.A.",aggravated_assault,743.0
2005.0,"Ann Arbor, MI M.S.A.",burglary,2311.0
2005.0,"Ann Arbor, MI M.S.A.",forcible_rape,145.0
2005.0,"Ann Arbor, MI M.S.A.",larceny_theft,6913.0
2005.0,"Ann Arbor, MI M.S.A.",motor_vehicle_theft,936.0
2005.0,"Ann Arbor, MI M.S.A.",murder_and_nonnegligent_manslaughter,8.0
2005.0,"Ann Arbor, MI M.S.A.",robbery,273.0
2005.0,"Appleton, WI M.S.A.",aggravated_assault,178.0
2005.0,"Appleton, WI M.S.A.",burglary,694.0
2005.0,"Appleton, WI M.S.A.",forcible_rape,38.0
2005.0,"Appleton, WI M.S.A.",larceny_theft,3750.0
2005.0,"Appleton, WI M.S.A.",motor_vehicle_theft,144.0
2005.0,"Appleton, WI M.S.A.",murder_and_nonnegligent_manslaughter,2.0
2005.0,"Appleton, WI M.S.A.",robbery,21.0
2005.0,"Asheville, NC M.S.A.",aggravated_assault,592.0
2005.0,"Asheville, NC M.S.A.",burglary,3371.0
2005.0,"Asheville, NC M.S.A.",forcible_rape,80.0
