year,month,day,metric,count
2018,1,2,Deposits and Withdrawals of Operating Cash::Withdrawals::Federal Reserve Account::Medicare Advantage - Part C&D Payments,25689
2018,1,2,Deposits and Withdrawals of Operating Cash::Withdrawals::Federal Reserve Account::Marketplace Payments,0
2018,1,2,Deposits and Withdrawals of Operating Cash::Withdrawals::Federal Reserve Account::NASA programs,1/ -4
2018,1,2,Deposits and Withdrawals of Operating Cash::Withdrawals::Federal Reserve Account::Postal Service Money Orders and Other,293
2018,1,2,Deposits and Withdrawals of Operating Cash::Withdrawals::Federal Reserve Account::Public Debt Cash Redemp. (Table III-B),135390
2018,1,2,Deposits and Withdrawals of Operating Cash::Withdrawals::Federal Reserve Account::Social Security Benefits (EFT),490
2018,1,2,Deposits and Withdrawals of Operating Cash::Withdrawals::Federal Reserve Account::Supple. Nutrition Assist. Program (SNAP),352
2018,1,2,Deposits and Withdrawals of Operating Cash::Withdrawals::Federal Reserve Account::Temporary Assistance for Needy Families (HHS),49
2018,1,2,Deposits and Withdrawals of Operating Cash::Withdrawals::Federal Reserve Account::Transportation Security Admin. (DHS),0
2018,1,2,Deposits and Withdrawals of Operating Cash::Withdrawals::Federal Reserve Account::Unemployment Insurance Benefits,213
2018,1,2,Deposits and Withdrawals of Operating Cash::Withdrawals::Federal Reserve Account::Veterans Affairs programs,216
2018,1,2,Deposits and Withdrawals of Operating Cash::Withdrawals::Federal Reserve Account::Other Withdrawals::Civil Service Retirement (EFT),5529
2018,1,2,Deposits and Withdrawals of Operating Cash::Withdrawals::Federal Reserve Account::Other Withdrawals::Emergency Prep & Response (DHS),81
2018,1,2,Deposits and Withdrawals of Operating Cash::Withdrawals::Federal Reserve Account::Other Withdrawals::Military Retirement (EFT),324
2018,1,2,Deposits and Withdrawals of Operating Cash::Withdrawals::Federal Reserve Account::Other Withdrawals::Railroad Retirement (EFT),1088
2018,1,2,Deposits and Withdrawals of Operating Cash::Withdrawals::Federal Reserve Account::Other Withdrawals::Supple. Security Income Benefits (EFT),80
2018,1,2,Deposits and Withdrawals of Operating Cash::Withdrawals::Federal Reserve Account::Other Withdrawals::Thrift Savings Plan Transfer,72
2018,1,2,Deposits and Withdrawals of Operating Cash::Withdrawals::Federal Reserve Account::Other Withdrawals::Unclassified,963
2018,1,2,"Deposits and Withdrawals of Operating Cash::Withdrawals::Federal Reserve Account::Other Withdrawals::Total, Other Withdrawals",8137
2018,1,2,Deposits and Withdrawals of Operating Cash::Withdrawals::Federal Reserve Account::Transfers to Depositaries,0
2018,1,2,Deposits and Withdrawals of Operating Cash::Withdrawals::Federal Reserve Account::Total Federal Reserve Account,188977
2018,1,2,Deposits and Withdrawals of Operating Cash::Withdrawals::Short-Term Cash Investments::Transfers to Federal Reserve Account (Table V),0
2018,1,2,Deposits and Withdrawals of Operating Cash::Withdrawals::Total Withdrawals (excluding transfers),188977
2018,1,2,Deposits and Withdrawals of Operating Cash::Withdrawals::Net Change in Operating Cash Balance,-38895
2018,1,2,Public Debt Transactions::Issues::Marketable::Bills::Regular Series,0
2018,1,2,Public Debt Transactions::Issues::Marketable::Bills::Cash Management Series,0
2018,1,2,Public Debt Transactions::Issues::Marketable::Notes,99504
2018,1,2,Public Debt Transactions::Issues::Marketable::Bonds,0
2018,1,2,Public Debt Transactions::Issues::Marketable::Inflation-Protected Securities Increment,-81
2018,1,2,Public Debt Transactions::Issues::Marketable::Federal Financing Bank,0
2018,1,2,Public Debt Transactions::Issues::Nonmarketable::United States Savings Securities::Cash Issue Price,17
2018,1,2,Public Debt Transactions::Issues::Nonmarketable::United States Savings Securities::Interest Increment,471
2018,1,2,Public Debt Transactions::Issues::Nonmarketable::Government Account Series,267852
2018,1,2,Public Debt Transactions::Issues::Nonmarketable::Hope Bonds,0
2018,1,2,Public Debt Transactions::Issues::Nonmarketable::Domestic Series,0
2018,1,2,Public Debt Transactions::Issues::Nonmarketable::Foreign Series,0
2018,1,2,Public Debt Transactions::Issues::Nonmarketable::State and Local Series,136
2018,1,2,Public Debt Transactions::Issues::Nonmarketable::Other,807
2018,1,2,Public Debt Transactions::Issues::Total Issues,368705
2018,1,2,Public Debt Transactions::Redemptions::Marketable::Bills,40001
2018,1,2,Public Debt Transactions::Redemptions::Marketable::Notes,91452
2018,1,2,Public Debt Transactions::Redemptions::Marketable::Bonds,0
2018,1,2,Public Debt Transactions::Redemptions::Marketable::Federal Financing Bank,0
2018,1,2,Public Debt Transactions::Redemptions::Nonmarketable::United States Savings Securities,95
2018,1,2,Public Debt Transactions::Redemptions::Nonmarketable::Government Account Series,233462
2018,1,2,Public Debt Transactions::Redemptions::Nonmarketable::Hope Bonds,0
2018,1,2,Public Debt Transactions::Redemptions::Nonmarketable::Domestic Series,0
2018,1,2,Public Debt Transactions::Redemptions::Nonmarketable::Foreign Series,0
2018,1,2,Public Debt Transactions::Redemptions::Nonmarketable::State and Local Series,3061
2018,1,2,Public Debt Transactions::Redemptions::Nonmarketable::Other,782
2018,1,2,Public Debt Transactions::Redemptions::Total Redemptions,368852
2018,1,2,Public Debt Transactions::Redemptions::Net Change in Public Debt Outstanding,-148
2018,1,2,Adjustment of Public Debt Transactions to Cash Basis::Transactions::Public Debt Cash Issues::Public Debt Issues (Table III-A),368705
2018,1,2,Adjustment of Public Debt Transactions to Cash Basis::Transactions::Public Debt Cash Issues::Premium on New Issues,0
2018,1,2,Adjustment of Public Debt Transactions to Cash Basis::Transactions::Public Debt Cash Issues::Discount on New Issues::Bills (-),0
2018,1,2,Adjustment of Public Debt Transactions to Cash Basis::Transactions::Public Debt Cash Issues::Discount on New Issues::Bonds and Notes (-),487
2018,1,2,Adjustment of Public Debt Transactions to Cash Basis::Transactions::Public Debt Cash Issues::Federal Financing Bank (-),0
2018,1,2,Adjustment of Public Debt Transactions to Cash Basis::Transactions::Public Debt Cash Issues::Government Account Transactions (-),267852
