year,month,day,metric,count
2018,1,3,Operating Cash Balance::Type of account::Federal Reserve Account::Closing balance,169957
2018,1,3,Operating Cash Balance::Type of account::Supplementary Financing Program Account::Closing balance,0
2018,1,3,Operating Cash Balance::Type of account::Short-Term Cash Investments (Table V)::Closing balance,0
2018,1,3,Operating Cash Balance::Type of account::Total Operating Balance::Closing balance,169957
2018,1,3,Operating Cash Balance::Type of account::Federal Reserve Account::Opening balance,190038
2018,1,3,Operating Cash Balance::Type of account::Supplementary Financing Program Account::Opening balance,0
2018,1,3,Operating Cash Balance::Type of account::Short-Term Cash Investments (Table V)::Opening balance,0
2018,1,3,Operating Cash Balance::Type of account::Total Operating Balance::Opening balance,190038
2018,1,3,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Agriculture Loan Repayments (misc),30
2018,1,3,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Air Transport Security Fees,1
2018,1,3,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Cash FTD's Received (Table IV),7346
2018,1,3,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Commodity Credit Corporation programs,17
2018,1,3,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Customs and Certain Excise Taxes,72
2018,1,3,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Deposits by States::Supplemental Security Income,1
2018,1,3,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Deposits by States::Unemployment,17
2018,1,3,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Education Department programs,392
2018,1,3,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Energy Department programs,15
2018,1,3,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Estate and Gift Taxes,278
2018,1,3,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Federal Reserve Earnings,1951
2018,1,3,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Foreign Military Sales Program,25
2018,1,3,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Housing and Urban Development programs,2
2018,1,3,"Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Individual Income and Employment Taxes, Not Withheld",1443
2018,1,3,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Interest recd from cash investments,0
2018,1,3,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Justice Department programs,27
2018,1,3,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Postal Service,437
