year,month,day,metric,count
2017,12,27,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Agriculture Loan Repayments (misc),24
2017,12,27,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Air Transport Security Fees,6
2017,12,27,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Cash FTD's Received (Table IV),6346
2017,12,27,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Commodity Credit Corporation programs,11
2017,12,27,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Customs and Certain Excise Taxes,84
2017,12,27,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Deposits by States::Supplemental Security Income,3
2017,12,27,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Deposits by States::Unemployment,8
2017,12,27,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Education Department programs,368
2017,12,27,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Energy Department programs,71
2017,12,27,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Estate and Gift Taxes,14
2017,12,27,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Federal Reserve Earnings,1090
2017,12,27,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Foreign Military Sales Program,84
2017,12,27,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Housing and Urban Development programs,83
2017,12,27,"Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Individual Income and Employment Taxes, Not Withheld",1056
2017,12,27,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Interest recd from cash investments,0
2017,12,27,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Justice Department programs,10
2017,12,27,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Postal Service,332
2017,12,27,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Public Debt Cash Issues (Table III-B),998
2017,12,27,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Other Deposits::Securities and Exchange Commission,124
2017,12,27,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Other Deposits::Total Other Deposits,124
2017,12,27,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Change in Balance of Uncollected Funds,0
2017,12,27,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Transfers from Depositaries,0
2017,12,27,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Total Federal Reserve Account,10712
2017,12,27,Deposits and Withdrawals of Operating Cash::Deposits::Short-Term Cash Investments::Transfers from Federal Reserve Account (Table V),0
2017,12,27,Deposits and Withdrawals of Operating Cash::Deposits::Total Deposits (excluding transfers),10712
