year,month,day,metric,count
2017,12,5,Public Debt Transactions::Issues::Marketable::Bills::Regular Series,0
2017,12,5,Public Debt Transactions::Issues::Marketable::Bills::Cash Management Series,0
2017,12,5,Public Debt Transactions::Issues::Marketable::Notes,0
2017,12,5,Public Debt Transactions::Issues::Marketable::Bonds,0
2017,12,5,Public Debt Transactions::Issues::Marketable::Inflation-Protected Securities Increment,-27
2017,12,5,Public Debt Transactions::Issues::Marketable::Federal Financing Bank,0
2017,12,5,Public Debt Transactions::Issues::Nonmarketable::United States Savings Securities::Cash Issue Price,4
2017,12,5,Public Debt Transactions::Issues::Nonmarketable::United States Savings Securities::Interest Increment,3
2017,12,5,Public Debt Transactions::Issues::Nonmarketable::Government Account Series,366293
2017,12,5,Public Debt Transactions::Issues::Nonmarketable::Hope Bonds,0
2017,12,5,Public Debt Transactions::Issues::Nonmarketable::Domestic Series,0
2017,12,5,Public Debt Transactions::Issues::Nonmarketable::Foreign Series,0
2017,12,5,Public Debt Transactions::Issues::Nonmarketable::State and Local Series,219
2017,12,5,Public Debt Transactions::Issues::Nonmarketable::Other,737
2017,12,5,Public Debt Transactions::Issues::Total Issues,367228
