year,month,day,metric,count
2017,12,21,Public Debt Transactions::Redemptions::Marketable::Bills,119987
2017,12,21,Public Debt Transactions::Redemptions::Marketable::Notes,0
2017,12,21,Public Debt Transactions::Redemptions::Marketable::Bonds,0
2017,12,21,Public Debt Transactions::Redemptions::Marketable::Federal Financing Bank,0
2017,12,21,Public Debt Transactions::Redemptions::Nonmarketable::United States Savings Securities,80
2017,12,21,Public Debt Transactions::Redemptions::Nonmarketable::Government Account Series,318528
2017,12,21,Public Debt Transactions::Redemptions::Nonmarketable::Hope Bonds,0
2017,12,21,Public Debt Transactions::Redemptions::Nonmarketable::Domestic Series,0
2017,12,21,Public Debt Transactions::Redemptions::Nonmarketable::Foreign Series,0
2017,12,21,Public Debt Transactions::Redemptions::Nonmarketable::State and Local Series,328
2017,12,21,Public Debt Transactions::Redemptions::Nonmarketable::Other,1333
2017,12,21,Public Debt Transactions::Redemptions::Total Redemptions,440257
2017,12,21,Public Debt Transactions::Redemptions::Net Change in Public Debt Outstanding,423
