year,month,day,metric,count
2017,12,20,Federal Tax Deposits::Classification::Withheld Income and Employment Taxes,12328
2017,12,20,Federal Tax Deposits::Classification::Individual Income Taxes,218
2017,12,20,Federal Tax Deposits::Classification::Railroad Retirement Taxes,3
2017,12,20,Federal Tax Deposits::Classification::Excise Taxes,27
2017,12,20,Federal Tax Deposits::Classification::Corporation Income Taxes,170
2017,12,20,Federal Tax Deposits::Classification::Federal Unemployment Taxes,3
2017,12,20,Federal Tax Deposits::Classification::Estate and Gift Taxes & Misc IRS Rcpts.,10
2017,12,20,Federal Tax Deposits::Classification::Total,12758
2017,12,20,Federal Tax Deposits::Classification::Cash Federal Tax Deposits::Direct,88
2017,12,20,Federal Tax Deposits::Classification::Cash Federal Tax Deposits::Through Depositaries,12655
2017,12,20,Federal Tax Deposits::Classification::Cash Federal Tax Deposits::Total Cash FTD's,12743
2017,12,20,Federal Tax Deposits::Classification::Inter-agency Transfers,15
2017,12,20,Federal Tax Deposits::Classification::Total,12758
