year,month,day,category,count
2004,01,01,ARSON,2
2004,01,01,ASSAULT,58
2004,01,01,BAD CHECKS,1
2004,01,01,BURGLARY,8
2004,01,01,DISORDERLY CONDUCT,4
2004,01,01,DRUG/NARCOTIC,20
2004,01,01,DRUNKENNESS,5
2004,01,01,EMBEZZLEMENT,3
2004,01,01,FAMILY OFFENSES,1
2004,01,01,FORGERY/COUNTERFEITING,18
2004,01,01,FRAUD,19
2004,01,01,GAMBLING,1
2004,01,01,LARCENY/THEFT,65
2004,01,01,LIQUOR LAWS,1
2004,01,01,MISSING PERSON,12
2004,01,01,NON-CRIMINAL,62
2004,01,01,OTHER OFFENSES,45
2004,01,01,ROBBERY,8
2004,01,01,RUNAWAY,1
2004,01,01,SECONDARY CODES,4
2004,01,01,"SEX OFFENSES, FORCIBLE",15
2004,01,01,"SEX OFFENSES, NON FORCIBLE",2
2004,01,01,STOLEN PROPERTY,2
2004,01,01,SUICIDE,2
2004,01,01,SUSPICIOUS OCC,28
2004,01,01,TRESPASS,2
2004,01,01,VANDALISM,18
2004,01,01,VEHICLE THEFT,39
2004,01,01,WARRANTS,8
2004,01,01,WEAPON LAWS,5
2004,01,02,ARSON,1
2004,01,02,ASSAULT,23
2004,01,02,BURGLARY,14
2004,01,02,DISORDERLY CONDUCT,4
2004,01,02,DRUG/NARCOTIC,27
2004,01,02,DRUNKENNESS,1
2004,01,02,EMBEZZLEMENT,1
2004,01,02,FORGERY/COUNTERFEITING,3
2004,01,02,FRAUD,2
2004,01,02,KIDNAPPING,3
2004,01,02,LARCENY/THEFT,60
2004,01,02,MISSING PERSON,9
2004,01,02,NON-CRIMINAL,35
2004,01,02,OTHER OFFENSES,59
2004,01,02,PROSTITUTION,8
2004,01,02,ROBBERY,3
2004,01,02,RUNAWAY,1
2004,01,02,SECONDARY CODES,1
2004,01,02,"SEX OFFENSES, FORCIBLE",3
2004,01,02,STOLEN PROPERTY,2
2004,01,02,SUSPICIOUS OCC,8
2004,01,02,TRESPASS,5
2004,01,02,VANDALISM,17
2004,01,02,VEHICLE THEFT,27
2004,01,02,WARRANTS,30
2004,01,02,WEAPON LAWS,1
2004,01,03,ARSON,2
2004,01,03,ASSAULT,36
2004,01,03,BAD CHECKS,1
2004,01,03,BRIBERY,1
2004,01,03,BURGLARY,14
2004,01,03,DISORDERLY CONDUCT,3
2004,01,03,DRUG/NARCOTIC,26
2004,01,03,DRUNKENNESS,4
2004,01,03,FORGERY/COUNTERFEITING,4
2004,01,03,FRAUD,7
2004,01,03,KIDNAPPING,3
2004,01,03,LARCENY/THEFT,64
2004,01,03,MISSING PERSON,13
2004,01,03,NON-CRIMINAL,27
2004,01,03,OTHER OFFENSES,47
2004,01,03,ROBBERY,6
2004,01,03,SECONDARY CODES,6
2004,01,03,"SEX OFFENSES, FORCIBLE",2
2004,01,03,STOLEN PROPERTY,3
2004,01,03,SUICIDE,1
2004,01,03,SUSPICIOUS OCC,8
2004,01,03,TRESPASS,2
2004,01,03,VANDALISM,21
2004,01,03,VEHICLE THEFT,33
2004,01,03,WARRANTS,19
2004,01,03,WEAPON LAWS,1
2004,01,04,ARSON,1
2004,01,04,ASSAULT,39
2004,01,04,BRIBERY,1
2004,01,04,BURGLARY,12
2004,01,04,DISORDERLY CONDUCT,1
2004,01,04,DRUG/NARCOTIC,30
2004,01,04,FORGERY/COUNTERFEITING,4
2004,01,04,FRAUD,7
2004,01,04,KIDNAPPING,1
2004,01,04,LARCENY/THEFT,63
2004,01,04,LIQUOR LAWS,1
2004,01,04,MISSING PERSON,8
2004,01,04,NON-CRIMINAL,36
2004,01,04,OTHER OFFENSES,49
2004,01,04,ROBBERY,5
2004,01,04,SECONDARY CODES,6
2004,01,04,STOLEN PROPERTY,1
2004,01,04,SUSPICIOUS OCC,7
2004,01,04,TRESPASS,2
