year,month,day,category,count
2003,01,01,ARSON,1
2003,01,01,ASSAULT,96
2003,01,01,BAD CHECKS,2
2003,01,01,BURGLARY,14
2003,01,01,DISORDERLY CONDUCT,3
2003,01,01,DRIVING UNDER THE INFLUENCE,2
2003,01,01,DRUG/NARCOTIC,29
2003,01,01,DRUNKENNESS,6
2003,01,01,EMBEZZLEMENT,7
2003,01,01,EXTORTION,1
2003,01,01,FORGERY/COUNTERFEITING,16
2003,01,01,FRAUD,23
2003,01,01,KIDNAPPING,3
2003,01,01,LARCENY/THEFT,72
2003,01,01,LIQUOR LAWS,1
2003,01,01,LOITERING,1
2003,01,01,MISSING PERSON,18
2003,01,01,NON-CRIMINAL,65
2003,01,01,OTHER OFFENSES,91
2003,01,01,PROSTITUTION,6
2003,01,01,ROBBERY,10
2003,01,01,RUNAWAY,1
2003,01,01,SECONDARY CODES,6
2003,01,01,"SEX OFFENSES, FORCIBLE",13
2003,01,01,"SEX OFFENSES, NON FORCIBLE",1
2003,01,01,STOLEN PROPERTY,1
2003,01,01,SUSPICIOUS OCC,35
2003,01,01,TRESPASS,4
2003,01,01,VANDALISM,28
2003,01,01,VEHICLE THEFT,31
2003,01,01,WARRANTS,31
2003,01,01,WEAPON LAWS,4
2003,01,02,ASSAULT,33
2003,01,02,BRIBERY,2
2003,01,02,BURGLARY,12
2003,01,02,DISORDERLY CONDUCT,1
2003,01,02,DRIVING UNDER THE INFLUENCE,1
2003,01,02,DRUG/NARCOTIC,37
2003,01,02,DRUNKENNESS,1
2003,01,02,FORGERY/COUNTERFEITING,3
2003,01,02,FRAUD,9
2003,01,02,LARCENY/THEFT,53
2003,01,02,MISSING PERSON,22
2003,01,02,NON-CRIMINAL,45
2003,01,02,OTHER OFFENSES,57
2003,01,02,PROSTITUTION,10
2003,01,02,ROBBERY,8
2003,01,02,RUNAWAY,2
2003,01,02,SECONDARY CODES,4
2003,01,02,"SEX OFFENSES, FORCIBLE",2
2003,01,02,STOLEN PROPERTY,3
2003,01,02,SUSPICIOUS OCC,10
2003,01,02,TRESPASS,4
2003,01,02,VANDALISM,19
2003,01,02,VEHICLE THEFT,46
2003,01,02,WARRANTS,23
2003,01,02,WEAPON LAWS,4
2003,01,03,ASSAULT,36
2003,01,03,BURGLARY,28
2003,01,03,DISORDERLY CONDUCT,5
2003,01,03,DRUG/NARCOTIC,27
2003,01,03,DRUNKENNESS,1
2003,01,03,EMBEZZLEMENT,1
2003,01,03,FORGERY/COUNTERFEITING,8
2003,01,03,FRAUD,9
2003,01,03,LARCENY/THEFT,65
2003,01,03,MISSING PERSON,14
2003,01,03,NON-CRIMINAL,34
2003,01,03,OTHER OFFENSES,79
2003,01,03,PROSTITUTION,14
2003,01,03,ROBBERY,13
2003,01,03,RUNAWAY,3
2003,01,03,SECONDARY CODES,6
2003,01,03,STOLEN PROPERTY,2
2003,01,03,SUSPICIOUS OCC,12
2003,01,03,TRESPASS,6
2003,01,03,VANDALISM,18
2003,01,03,VEHICLE THEFT,21
2003,01,03,WARRANTS,33
2003,01,03,WEAPON LAWS,5
2003,01,04,ASSAULT,36
2003,01,04,BURGLARY,18
2003,01,04,DISORDERLY CONDUCT,2
2003,01,04,DRIVING UNDER THE INFLUENCE,1
2003,01,04,DRUG/NARCOTIC,31
2003,01,04,FORGERY/COUNTERFEITING,2
2003,01,04,FRAUD,7
2003,01,04,KIDNAPPING,1
2003,01,04,LARCENY/THEFT,53
2003,01,04,LIQUOR LAWS,2
2003,01,04,MISSING PERSON,7
2003,01,04,NON-CRIMINAL,25
2003,01,04,OTHER OFFENSES,53
2003,01,04,PROSTITUTION,1
2003,01,04,ROBBERY,8
2003,01,04,RUNAWAY,1
