year,month,day,metric,count
2017,12,28,Federal Tax Deposits::Classification::Withheld Income and Employment Taxes,11617
2017,12,28,Federal Tax Deposits::Classification::Individual Income Taxes,490
2017,12,28,Federal Tax Deposits::Classification::Railroad Retirement Taxes,4
2017,12,28,Federal Tax Deposits::Classification::Excise Taxes,904
2017,12,28,Federal Tax Deposits::Classification::Corporation Income Taxes,177
2017,12,28,Federal Tax Deposits::Classification::Federal Unemployment Taxes,6
2017,12,28,Federal Tax Deposits::Classification::Estate and Gift Taxes & Misc IRS Rcpts.,5
2017,12,28,Federal Tax Deposits::Classification::Total,13204
2017,12,28,Federal Tax Deposits::Classification::Cash Federal Tax Deposits::Direct,153
2017,12,28,Federal Tax Deposits::Classification::Cash Federal Tax Deposits::Through Depositaries,12735
2017,12,28,Federal Tax Deposits::Classification::Cash Federal Tax Deposits::Total Cash FTD's,12888
2017,12,28,Federal Tax Deposits::Classification::Inter-agency Transfers,316
2017,12,28,Federal Tax Deposits::Classification::Total,13204
