year,month,day,metric,count
2017,12,1,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Agriculture Loan Repayments (misc),31
2017,12,1,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Air Transport Security Fees,1
2017,12,1,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Cash FTD's Received (Table IV),20109
2017,12,1,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Commodity Credit Corporation programs,35
2017,12,1,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Customs and Certain Excise Taxes,63
2017,12,1,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Deposits by States::Supplemental Security Income,3
2017,12,1,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Deposits by States::Unemployment,15
2017,12,1,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Education Department programs,217
2017,12,1,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Energy Department programs,15
2017,12,1,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Estate and Gift Taxes,48
2017,12,1,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Federal Reserve Earnings,0
2017,12,1,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Foreign Military Sales Program,1605
2017,12,1,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Housing and Urban Development programs,7
2017,12,1,"Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Individual Income and Employment Taxes, Not Withheld",157
2017,12,1,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Interest recd from cash investments,0
2017,12,1,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Justice Department programs,13
2017,12,1,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Postal Service,463
2017,12,1,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Public Debt Cash Issues (Table III-B),980
2017,12,1,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Other Deposits::Federal Housing Admin: Note Sales,52
2017,12,1,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Other Deposits::Medicare Premiums,221
2017,12,1,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Other Deposits::Natl Railroad Retirement Inv Trust,219
2017,12,1,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Other Deposits::Small Business Admin. Loan Sales,64
2017,12,1,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Other Deposits::Thrift Savings Plan Transfer,90
2017,12,1,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Other Deposits::Total Other Deposits,646
2017,12,1,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Change in Balance of Uncollected Funds,0
2017,12,1,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Transfers from Depositaries,0
2017,12,1,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Total Federal Reserve Account,24407
2017,12,1,Deposits and Withdrawals of Operating Cash::Deposits::Short-Term Cash Investments::Transfers from Federal Reserve Account (Table V),0
2017,12,1,Deposits and Withdrawals of Operating Cash::Deposits::Total Deposits (excluding transfers),24407
