year,month,day,category,count
2005,1,5,ROBBERY,17
2005,1,5,SEX OFFENSES FELONIES,4
2005,1,5,SEX OFFENSES MISDEMEANORS,2
2005,1,5,VAGRANCY,4
2005,1,5,VANDALISM,34
2005,1,5,VEHICLE / BOATING LAWS,63
2005,1,5,WARRANTS,2
2005,1,5,WEAPON LAWS,14
2005,1,6,AGGRAVATED ASSAULT,21
2005,1,6,ARSON,2
2005,1,6,BURGLARY,51
2005,1,6,CRIMINAL HOMICIDE,1
2005,1,6,DISORDERLY CONDUCT,6
2005,1,6,DRUNK / ALCOHOL / DRUGS,3
2005,1,6,DRUNK DRIVING VEHICLE / BOAT,8
2005,1,6,FEDERAL OFFENSES WITH MONEY,3
2005,1,6,FELONIES MISCELLANEOUS,10
2005,1,6,FORCIBLE RAPE,3
2005,1,6,FORGERY,6
2005,1,6,FRAUD AND NSF CHECKS,19
2005,1,6,GRAND THEFT AUTO,54
2005,1,6,LARCENY THEFT,84
2005,1,6,LIQUOR LAWS,3
2005,1,6,MISDEMEANORS MISCELLANEOUS,14
2005,1,6,NARCOTICS,65
2005,1,6,NON-AGGRAVATED ASSAULTS,33
2005,1,6,RECEIVING STOLEN PROPERTY,1
2005,1,6,ROBBERY,9
2005,1,6,SEX OFFENSES FELONIES,1
2005,1,6,VAGRANCY,2
2005,1,6,VANDALISM,24
2005,1,6,VEHICLE / BOATING LAWS,68
2005,1,6,WARRANTS,1
2005,1,6,WEAPON LAWS,12
2005,1,7,AGGRAVATED ASSAULT,19
2005,1,7,ARSON,3
2005,1,7,BURGLARY,40
2005,1,7,CRIMINAL HOMICIDE,1
2005,1,7,DISORDERLY CONDUCT,7
2005,1,7,DRUNK / ALCOHOL / DRUGS,2
2005,1,7,DRUNK DRIVING VEHICLE / BOAT,9
2005,1,7,FELONIES MISCELLANEOUS,9
2005,1,7,FORCIBLE RAPE,1
2005,1,7,FORGERY,12
2005,1,7,FRAUD AND NSF CHECKS,12
2005,1,7,GRAND THEFT AUTO,65
2005,1,7,LARCENY THEFT,106
2005,1,7,LIQUOR LAWS,9
2005,1,7,MISDEMEANORS MISCELLANEOUS,8
2005,1,7,NARCOTICS,37
2005,1,7,NON-AGGRAVATED ASSAULTS,32
2005,1,7,OFFENSES AGAINST FAMILY,1
2005,1,7,RECEIVING STOLEN PROPERTY,1
2005,1,7,ROBBERY,17
2005,1,7,SEX OFFENSES FELONIES,5
2005,1,7,SEX OFFENSES MISDEMEANORS,3
2005,1,7,VAGRANCY,1
2005,1,7,VANDALISM,28
2005,1,7,VEHICLE / BOATING LAWS,55
2005,1,7,WARRANTS,1
2005,1,7,WEAPON LAWS,10
2005,1,8,AGGRAVATED ASSAULT,26
2005,1,8,ARSON,2
2005,1,8,BURGLARY,36
2005,1,8,CRIMINAL HOMICIDE,1
2005,1,8,DISORDERLY CONDUCT,10
2005,1,8,DRUNK / ALCOHOL / DRUGS,5
2005,1,8,DRUNK DRIVING VEHICLE / BOAT,12
2005,1,8,FEDERAL OFFENSES WITH MONEY,7
2005,1,8,FELONIES MISCELLANEOUS,7
2005,1,8,FORCIBLE RAPE,1
2005,1,8,FORGERY,11
2005,1,8,FRAUD AND NSF CHECKS,24
2005,1,8,GRAND THEFT AUTO,71
2005,1,8,LARCENY THEFT,113
2005,1,8,LIQUOR LAWS,2
2005,1,8,MISDEMEANORS MISCELLANEOUS,5
2005,1,8,NARCOTICS,26
2005,1,8,NON-AGGRAVATED ASSAULTS,28
2005,1,8,OFFENSES AGAINST FAMILY,1
2005,1,8,ROBBERY,15
2005,1,8,SEX OFFENSES FELONIES,9
2005,1,8,VANDALISM,29
2005,1,8,VEHICLE / BOATING LAWS,44
2005,1,8,WEAPON LAWS,4
2005,1,9,AGGRAVATED ASSAULT,17
2005,1,9,ARSON,1
2005,1,9,BURGLARY,42
2005,1,9,CRIMINAL HOMICIDE,1
2005,1,9,DISORDERLY CONDUCT,3
2005,1,9,DRUNK / ALCOHOL / DRUGS,9
2005,1,9,DRUNK DRIVING VEHICLE / BOAT,6
2005,1,9,FEDERAL OFFENSES WITH MONEY,1
2005,1,9,FELONIES MISCELLANEOUS,13
2005,1,9,FORGERY,8
2005,1,9,FRAUD AND NSF CHECKS,16
2005,1,9,GRAND THEFT AUTO,61
2005,1,9,LARCENY THEFT,82
2005,1,9,LIQUOR LAWS,4
2005,1,9,MISDEMEANORS MISCELLANEOUS,8
2005,1,9,NARCOTICS,17
2005,1,9,NON-AGGRAVATED ASSAULTS,32
2005,1,9,OFFENSES AGAINST FAMILY,1
2005,1,9,ROBBERY,19
2005,1,9,SEX OFFENSES FELONIES,3
2005,1,9,VANDALISM,38
2005,1,9,VEHICLE / BOATING LAWS,31
2005,1,9,WARRANTS,1
2005,1,9,WEAPON LAWS,7
2005,1,10,AGGRAVATED ASSAULT,15
2005,1,10,ARSON,1
2005,1,10,BURGLARY,43
2005,1,10,DISORDERLY CONDUCT,7
2005,1,10,DRUNK / ALCOHOL / DRUGS,2
2005,1,10,DRUNK DRIVING VEHICLE / BOAT,3
2005,1,10,FEDERAL OFFENSES WITH MONEY,2
2005,1,10,FELONIES MISCELLANEOUS,8
2005,1,10,FORCIBLE RAPE,2
2005,1,10,FORGERY,13
2005,1,10,FRAUD AND NSF CHECKS,30
2005,1,10,GRAND THEFT AUTO,49
2005,1,10,LARCENY THEFT,122
2005,1,10,LIQUOR LAWS,1
2005,1,10,MISDEMEANORS MISCELLANEOUS,6
2005,1,10,NARCOTICS,26
2005,1,10,NON-AGGRAVATED ASSAULTS,31
2005,1,10,OFFENSES AGAINST FAMILY,2
2005,1,10,ROBBERY,27
2005,1,10,SEX OFFENSES FELONIES,4
2005,1,10,SEX OFFENSES MISDEMEANORS,4
2005,1,10,VANDALISM,26
2005,1,10,VEHICLE / BOATING LAWS,55
2005,1,10,WARRANTS,2
2005,1,10,WEAPON LAWS,7
2005,1,11,AGGRAVATED ASSAULT,20
2005,1,11,BURGLARY,40
2005,1,11,CRIMINAL HOMICIDE,2
2005,1,11,DISORDERLY CONDUCT,7
2005,1,11,DRUNK / ALCOHOL / DRUGS,2
2005,1,11,DRUNK DRIVING VEHICLE / BOAT,2
2005,1,11,FEDERAL OFFENSES WITH MONEY,2
2005,1,11,FELONIES MISCELLANEOUS,9
2005,1,11,FORCIBLE RAPE,3
2005,1,11,FORGERY,11
2005,1,11,FRAUD AND NSF CHECKS,27
2005,1,11,GRAND THEFT AUTO,50
2005,1,11,LARCENY THEFT,120
2005,1,11,MISDEMEANORS MISCELLANEOUS,8
2005,1,11,NARCOTICS,39
2005,1,11,NON-AGGRAVATED ASSAULTS,44
2005,1,11,OFFENSES AGAINST FAMILY,2
2005,1,11,RECEIVING STOLEN PROPERTY,2
2005,1,11,ROBBERY,13
2005,1,11,SEX OFFENSES FELONIES,1
2005,1,11,SEX OFFENSES MISDEMEANORS,4
2005,1,11,VANDALISM,39
2005,1,11,VEHICLE / BOATING LAWS,82
2005,1,11,WARRANTS,8
2005,1,11,WEAPON LAWS,3
2005,1,12,AGGRAVATED ASSAULT,24
2005,1,12,ARSON,2
2005,1,12,BURGLARY,41
2005,1,12,CRIMINAL HOMICIDE,1
2005,1,12,DISORDERLY CONDUCT,7
2005,1,12,DRUNK / ALCOHOL / DRUGS,4
2005,1,12,DRUNK DRIVING VEHICLE / BOAT,6
2005,1,12,FEDERAL OFFENSES WITH MONEY,3
2005,1,12,FELONIES MISCELLANEOUS,13
2005,1,12,FORCIBLE RAPE,2
2005,1,12,FORGERY,8
2005,1,12,FRAUD AND NSF CHECKS,22
2005,1,12,GRAND THEFT AUTO,49
2005,1,12,LARCENY THEFT,86
2005,1,12,LIQUOR LAWS,5
2005,1,12,MISDEMEANORS MISCELLANEOUS,15
2005,1,12,NARCOTICS,62
2005,1,12,NON-AGGRAVATED ASSAULTS,40
2005,1,12,RECEIVING STOLEN PROPERTY,4
2005,1,12,ROBBERY,15
2005,1,12,SEX OFFENSES FELONIES,3
2005,1,12,SEX OFFENSES MISDEMEANORS,2
2005,1,12,VAGRANCY,5
2005,1,12,VANDALISM,34
2005,1,12,VEHICLE / BOATING LAWS,73
2005,1,12,WARRANTS,4
2005,1,12,WEAPON LAWS,9
2005,1,13,AGGRAVATED ASSAULT,13
2005,1,13,ARSON,2
2005,1,13,BURGLARY,50
2005,1,13,CRIMINAL HOMICIDE,1
2005,1,13,DISORDERLY CONDUCT,13
