year,month,day,metric,count
2018,1,11,Public Debt Transactions::Redemptions::Marketable::Bills,120000
2018,1,11,Public Debt Transactions::Redemptions::Marketable::Notes,0
2018,1,11,Public Debt Transactions::Redemptions::Marketable::Bonds,0
2018,1,11,Public Debt Transactions::Redemptions::Marketable::Federal Financing Bank,0
2018,1,11,Public Debt Transactions::Redemptions::Nonmarketable::United States Savings Securities,56
2018,1,11,Public Debt Transactions::Redemptions::Nonmarketable::Government Account Series,221294
2018,1,11,Public Debt Transactions::Redemptions::Nonmarketable::Hope Bonds,0
2018,1,11,Public Debt Transactions::Redemptions::Nonmarketable::Domestic Series,0
2018,1,11,Public Debt Transactions::Redemptions::Nonmarketable::Foreign Series,0
2018,1,11,Public Debt Transactions::Redemptions::Nonmarketable::State and Local Series,74
2018,1,11,Public Debt Transactions::Redemptions::Nonmarketable::Other,1415
2018,1,11,Public Debt Transactions::Redemptions::Total Redemptions,342840
2018,1,11,Public Debt Transactions::Redemptions::Net Change in Public Debt Outstanding,482
