year,month,day,metric,count
2017,12,4,Federal Tax Deposits::Classification::Withheld Income and Employment Taxes,19823
2017,12,4,Federal Tax Deposits::Classification::Individual Income Taxes,153
2017,12,4,Federal Tax Deposits::Classification::Railroad Retirement Taxes,44
2017,12,4,Federal Tax Deposits::Classification::Excise Taxes,10
2017,12,4,Federal Tax Deposits::Classification::Corporation Income Taxes,84
2017,12,4,Federal Tax Deposits::Classification::Federal Unemployment Taxes,2
2017,12,4,Federal Tax Deposits::Classification::Estate and Gift Taxes & Misc IRS Rcpts.,5
2017,12,4,Federal Tax Deposits::Classification::Total,20121
2017,12,4,Federal Tax Deposits::Classification::Cash Federal Tax Deposits::Direct,27
2017,12,4,Federal Tax Deposits::Classification::Cash Federal Tax Deposits::Through Depositaries,19465
2017,12,4,Federal Tax Deposits::Classification::Cash Federal Tax Deposits::Total Cash FTD's,19492
2017,12,4,Federal Tax Deposits::Classification::Inter-agency Transfers,628
2017,12,4,Federal Tax Deposits::Classification::Total,20121
