year,month,day,metric,count
2017,12,8,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Agriculture Loan Repayments (misc),22
2017,12,8,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Air Transport Security Fees,1
2017,12,8,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Cash FTD's Received (Table IV),8332
2017,12,8,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Commodity Credit Corporation programs,50
2017,12,8,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Customs and Certain Excise Taxes,89
2017,12,8,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Deposits by States::Supplemental Security Income,5
2017,12,8,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Deposits by States::Unemployment,15
2017,12,8,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Education Department programs,197
2017,12,8,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Energy Department programs,11
2017,12,8,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Estate and Gift Taxes,104
2017,12,8,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Federal Reserve Earnings,0
2017,12,8,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Foreign Military Sales Program,11
2017,12,8,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Housing and Urban Development programs,4
2017,12,8,"Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Individual Income and Employment Taxes, Not Withheld",252
2017,12,8,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Interest recd from cash investments,0
2017,12,8,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Justice Department programs,8
2017,12,8,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Postal Service,400
2017,12,8,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Public Debt Cash Issues (Table III-B),10265
2017,12,8,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Other Deposits::Emergency Prep & Response (DHS),165
2017,12,8,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Other Deposits::Federal Housing Admin: Note Sales,102
2017,12,8,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Other Deposits::Medicare Premiums,58
2017,12,8,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Other Deposits::Total Other Deposits,325
2017,12,8,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Change in Balance of Uncollected Funds,0
2017,12,8,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Transfers from Depositaries,0
2017,12,8,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Total Federal Reserve Account,20090
2017,12,8,Deposits and Withdrawals of Operating Cash::Deposits::Short-Term Cash Investments::Transfers from Federal Reserve Account (Table V),0
2017,12,8,Deposits and Withdrawals of Operating Cash::Deposits::Total Deposits (excluding transfers),20090
