year,month,day,metric,count
2018,1,3,Public Debt Transactions::Issues::Marketable::Bills::Regular Series,0
2018,1,3,Public Debt Transactions::Issues::Marketable::Bills::Cash Management Series,0
2018,1,3,Public Debt Transactions::Issues::Marketable::Notes,0
2018,1,3,Public Debt Transactions::Issues::Marketable::Bonds,0
2018,1,3,Public Debt Transactions::Issues::Marketable::Inflation-Protected Securities Increment,1
2018,1,3,Public Debt Transactions::Issues::Marketable::Federal Financing Bank,0
2018,1,3,Public Debt Transactions::Issues::Nonmarketable::United States Savings Securities::Cash Issue Price,9
2018,1,3,Public Debt Transactions::Issues::Nonmarketable::United States Savings Securities::Interest Increment,1
2018,1,3,Public Debt Transactions::Issues::Nonmarketable::Government Account Series,277997
2018,1,3,Public Debt Transactions::Issues::Nonmarketable::Hope Bonds,0
2018,1,3,Public Debt Transactions::Issues::Nonmarketable::Domestic Series,0
2018,1,3,Public Debt Transactions::Issues::Nonmarketable::Foreign Series,0
2018,1,3,Public Debt Transactions::Issues::Nonmarketable::State and Local Series,31
2018,1,3,Public Debt Transactions::Issues::Nonmarketable::Other,756
2018,1,3,Public Debt Transactions::Issues::Total Issues,278795
