,year,month,day,category,count
159,2017,1,17,"sex crimes, not child-related",1
160,2017,1,17,theft,70
161,2017,1,17,vandalism,24
162,2017,1,17,weapon-related crime,2
163,2017,1,18,assault,8
164,2017,1,18,battery,29
165,2017,1,18,burglary,44
166,2017,1,18,child-related crimes,1
167,2017,1,18,disorderly conduct,8
168,2017,1,18,driving under the influence,10
169,2017,1,18,drug possession,33
170,2017,1,18,drunk in public,9
171,2017,1,18,fraud,3
172,2017,1,18,illegal conceal or carry of weapon,5
173,2017,1,18,"illegal sales, manufacture, or transport",5
174,2017,1,18,motor vehicle theft,50
175,2017,1,18,other,31
176,2017,1,18,"sex crimes, not child-related",4
177,2017,1,18,theft,84
178,2017,1,18,vandalism,16
179,2017,1,18,weapon-related crime,4
180,2017,1,19,assault,7
181,2017,1,19,attempted murder,1
182,2017,1,19,battery,24
183,2017,1,19,burglary,47
184,2017,1,19,disorderly conduct,6
185,2017,1,19,driving under the influence,7
186,2017,1,19,drug possession,37
187,2017,1,19,drunk in public,26
188,2017,1,19,fraud,6
189,2017,1,19,illegal conceal or carry of weapon,5
190,2017,1,19,"illegal sales, manufacture, or transport",5
191,2017,1,19,motor vehicle theft,58
192,2017,1,19,other,37
193,2017,1,19,"sex crimes, not child-related",2
194,2017,1,19,theft,56
195,2017,1,19,vandalism,24
196,2017,1,19,weapon-related crime,1
197,2017,1,2,assault,3
198,2017,1,2,battery,11
199,2017,1,2,burglary,52
200,2017,1,2,child-related crimes,2
201,2017,1,2,disorderly conduct,9
202,2017,1,2,driving under the influence,5
203,2017,1,2,drug possession,30
204,2017,1,2,drunk in public,14
205,2017,1,2,fraud,4
206,2017,1,2,illegal conceal or carry of weapon,5
207,2017,1,2,motor vehicle theft,40
208,2017,1,2,other,43
209,2017,1,2,"sex crimes, not child-related",3
210,2017,1,2,theft,52
211,2017,1,2,vandalism,30
212,2017,1,20,assault,8
213,2017,1,20,battery,28
214,2017,1,20,burglary,45
215,2017,1,20,child-related crimes,5
216,2017,1,20,disorderly conduct,6
217,2017,1,20,driving under the influence,10
218,2017,1,20,drug possession,18
219,2017,1,20,drunk in public,7
220,2017,1,20,fraud,7
221,2017,1,20,illegal conceal or carry of weapon,2
222,2017,1,20,"illegal sales, manufacture, or transport",1
223,2017,1,20,motor vehicle theft,47
224,2017,1,20,other,16
225,2017,1,20,"sex crimes, not child-related",7
226,2017,1,20,theft,75
227,2017,1,20,vandalism,25
228,2017,1,20,weapon-related crime,1
229,2017,1,21,assault,6
230,2017,1,21,battery,20
231,2017,1,21,burglary,66
232,2017,1,21,child-related crimes,1
233,2017,1,21,disorderly conduct,10
234,2017,1,21,driving under the influence,17
235,2017,1,21,drug possession,29
236,2017,1,21,drunk in public,11
237,2017,1,21,fraud,1
238,2017,1,21,illegal conceal or carry of weapon,1
239,2017,1,21,motor vehicle theft,42
240,2017,1,21,other,29
241,2017,1,21,"sex crimes, not child-related",5
242,2017,1,21,theft,86
243,2017,1,21,vandalism,41
244,2017,1,21,weapon-related crime,2
245,2017,1,22,assault,6
246,2017,1,22,battery,21
247,2017,1,22,burglary,47
248,2017,1,22,child-related crimes,1
249,2017,1,22,disorderly conduct,3
250,2017,1,22,driving under the influence,27
251,2017,1,22,drug possession,15
252,2017,1,22,drunk in public,14
253,2017,1,22,fraud,2
254,2017,1,22,illegal conceal or carry of weapon,2
255,2017,1,22,"illegal sales, manufacture, or transport",1
256,2017,1,22,motor vehicle theft,68
257,2017,1,22,other,22
258,2017,1,22,"sex crimes, not child-related",2
259,2017,1,22,theft,54
260,2017,1,22,vandalism,29
261,2017,1,23,assault,4
262,2017,1,23,battery,18
263,2017,1,23,burglary,71
264,2017,1,23,disorderly conduct,7
265,2017,1,23,driving under the influence,6
