year,month,day,metric,count
2016,1,12,ROBBERY - STREET,11
2016,1,12,SHOOTING,1
2016,1,13,AGG. ASSAULT,7
2016,1,13,ASSAULT BY THREAT,2
2016,1,13,AUTO THEFT,24
2016,1,13,BURGLARY,18
2016,1,13,COMMON ASSAULT,18
2016,1,13,LARCENY,14
2016,1,13,LARCENY FROM AUTO,14
2016,1,13,ROBBERY - COMMERCIAL,5
2016,1,13,ROBBERY - STREET,6
2016,1,13,SHOOTING,1
2016,1,14,AGG. ASSAULT,14
2016,1,14,ASSAULT BY THREAT,2
2016,1,14,AUTO THEFT,16
2016,1,14,BURGLARY,25
2016,1,14,COMMON ASSAULT,16
2016,1,14,LARCENY,29
2016,1,14,LARCENY FROM AUTO,15
2016,1,14,ROBBERY - COMMERCIAL,4
2016,1,14,ROBBERY - STREET,12
2016,1,14,SHOOTING,2
2016,1,15,AGG. ASSAULT,12
2016,1,15,ARSON,2
2016,1,15,ASSAULT BY THREAT,1
2016,1,15,AUTO THEFT,11
2016,1,15,BURGLARY,18
2016,1,15,COMMON ASSAULT,20
2016,1,15,HOMICIDE,1
2016,1,15,LARCENY,32
2016,1,15,LARCENY FROM AUTO,14
2016,1,15,ROBBERY - COMMERCIAL,4
2016,1,15,ROBBERY - RESIDENCE,1
2016,1,15,ROBBERY - STREET,8
2016,1,15,SHOOTING,1
2016,1,16,AGG. ASSAULT,19
2016,1,16,ARSON,2
2016,1,16,ASSAULT BY THREAT,1
2016,1,16,AUTO THEFT,14
2016,1,16,BURGLARY,18
2016,1,16,COMMON ASSAULT,21
2016,1,16,LARCENY,22
2016,1,16,LARCENY FROM AUTO,18
2016,1,16,ROBBERY - COMMERCIAL,1
2016,1,16,ROBBERY - RESIDENCE,1
2016,1,16,ROBBERY - STREET,2
2016,1,16,SHOOTING,1
2016,1,17,AGG. ASSAULT,23
2016,1,17,ASSAULT BY THREAT,1
2016,1,17,AUTO THEFT,20
2016,1,17,BURGLARY,10
2016,1,17,COMMON ASSAULT,17
2016,1,17,LARCENY,22
2016,1,17,LARCENY FROM AUTO,12
2016,1,17,RAPE,1
2016,1,17,ROBBERY - COMMERCIAL,4
2016,1,17,ROBBERY - RESIDENCE,2
2016,1,17,ROBBERY - STREET,17
2016,1,17,SHOOTING,2
2016,1,18,AGG. ASSAULT,3
2016,1,18,ARSON,1
2016,1,18,AUTO THEFT,18
2016,1,18,BURGLARY,18
2016,1,18,COMMON ASSAULT,14
2016,1,18,HOMICIDE,1
2016,1,18,LARCENY,15
2016,1,18,LARCENY FROM AUTO,16
2016,1,18,ROBBERY - CARJACKING,1
2016,1,18,ROBBERY - COMMERCIAL,2
2016,1,18,ROBBERY - RESIDENCE,2
2016,1,18,ROBBERY - STREET,10
2016,1,18,SHOOTING,2
2016,1,19,AGG. ASSAULT,15
2016,1,19,ASSAULT BY THREAT,2
2016,1,19,AUTO THEFT,18
2016,1,19,BURGLARY,27
2016,1,19,COMMON ASSAULT,16
2016,1,19,HOMICIDE,2
2016,1,19,LARCENY,22
2016,1,19,LARCENY FROM AUTO,13
2016,1,19,ROBBERY - COMMERCIAL,2
2016,1,19,ROBBERY - RESIDENCE,2
2016,1,19,ROBBERY - STREET,10
2016,1,19,SHOOTING,1
2016,1,20,AGG. ASSAULT,6
2016,1,20,AUTO THEFT,10
2016,1,20,BURGLARY,21
2016,1,20,COMMON ASSAULT,15
2016,1,20,LARCENY,20
2016,1,20,LARCENY FROM AUTO,12
2016,1,20,RAPE,2
2016,1,20,ROBBERY - COMMERCIAL,2
2016,1,20,ROBBERY - RESIDENCE,1
2016,1,20,ROBBERY - STREET,8
2016,1,21,AGG. ASSAULT,6
2016,1,21,ASSAULT BY THREAT,4
2016,1,21,AUTO THEFT,14
2016,1,21,BURGLARY,21
2016,1,21,COMMON ASSAULT,9
2016,1,21,LARCENY,20
2016,1,21,LARCENY FROM AUTO,12
2016,1,21,RAPE,2
2016,1,21,ROBBERY - CARJACKING,3
2016,1,21,ROBBERY - COMMERCIAL,3
2016,1,21,ROBBERY - STREET,9
2016,1,21,SHOOTING,1
2016,1,22,AGG. ASSAULT,7
2016,1,22,ASSAULT BY THREAT,1
2016,1,22,AUTO THEFT,15
2016,1,22,BURGLARY,26
2016,1,22,COMMON ASSAULT,9
2016,1,22,LARCENY,19
2016,1,22,LARCENY FROM AUTO,12
2016,1,22,ROBBERY - COMMERCIAL,1
2016,1,22,ROBBERY - RESIDENCE,2
2016,1,22,ROBBERY - STREET,8
2016,1,22,SHOOTING,1
2016,1,23,AGG. ASSAULT,1
2016,1,23,ASSAULT BY THREAT,1
2016,1,23,AUTO THEFT,7
2016,1,23,BURGLARY,11
2016,1,23,COMMON ASSAULT,5
2016,1,23,LARCENY,4
2016,1,23,LARCENY FROM AUTO,2
2016,1,23,ROBBERY - CARJACKING,1
2016,1,23,ROBBERY - COMMERCIAL,1
2016,1,24,AGG. ASSAULT,3
2016,1,24,ASSAULT BY THREAT,3
2016,1,24,AUTO THEFT,7
2016,1,24,BURGLARY,11
2016,1,24,COMMON ASSAULT,10
2016,1,24,LARCENY,5
2016,1,24,LARCENY FROM AUTO,4
2016,1,24,ROBBERY - COMMERCIAL,1
2016,1,24,ROBBERY - STREET,2
2016,1,25,AGG. ASSAULT,12
2016,1,25,ARSON,1
2016,1,25,ASSAULT BY THREAT,1
2016,1,25,AUTO THEFT,11
2016,1,25,BURGLARY,5
2016,1,25,COMMON ASSAULT,16
2016,1,25,LARCENY,11
2016,1,25,LARCENY FROM AUTO,3
2016,1,25,ROBBERY - COMMERCIAL,1
2016,1,25,ROBBERY - RESIDENCE,1
2016,1,25,ROBBERY - STREET,5
2016,1,25,SHOOTING,1
2016,1,26,AGG. ASSAULT,8
2016,1,26,AUTO THEFT,9
2016,1,26,BURGLARY,8
2016,1,26,COMMON ASSAULT,16
2016,1,26,HOMICIDE,1
2016,1,26,LARCENY,12
2016,1,26,LARCENY FROM AUTO,8
2016,1,26,ROBBERY - COMMERCIAL,2
2016,1,26,ROBBERY - STREET,9
2016,1,26,SHOOTING,1
2016,1,27,AGG. ASSAULT,10
2016,1,27,ASSAULT BY THREAT,2
2016,1,27,AUTO THEFT,12
2016,1,27,BURGLARY,8
2016,1,27,COMMON ASSAULT,25
2016,1,27,LARCENY,19
2016,1,27,LARCENY FROM AUTO,11
2016,1,27,ROBBERY - COMMERCIAL,1
2016,1,27,ROBBERY - STREET,3
2016,1,28,AGG. ASSAULT,12
2016,1,28,AUTO THEFT,15
2016,1,28,BURGLARY,12
2016,1,28,COMMON ASSAULT,12
2016,1,28,LARCENY,22
2016,1,28,LARCENY FROM AUTO,11
2016,1,28,RAPE,1
2016,1,28,ROBBERY - CARJACKING,2
2016,1,28,ROBBERY - RESIDENCE,2
2016,1,28,ROBBERY - STREET,8
2016,1,29,AGG. ASSAULT,14
2016,1,29,ASSAULT BY THREAT,2
2016,1,29,AUTO THEFT,16
2016,1,29,BURGLARY,15
2016,1,29,COMMON ASSAULT,15
2016,1,29,HOMICIDE,1
2016,1,29,LARCENY,12
2016,1,29,LARCENY FROM AUTO,11
2016,1,29,ROBBERY - COMMERCIAL,4
2016,1,29,ROBBERY - RESIDENCE,2
2016,1,29,ROBBERY - STREET,8
2016,1,29,SHOOTING,1
2016,1,30,AGG. ASSAULT,8
2016,1,30,ASSAULT BY THREAT,2
2016,1,30,AUTO THEFT,8
2016,1,30,BURGLARY,17
2016,1,30,COMMON ASSAULT,12
2016,1,30,LARCENY,27
2016,1,30,LARCENY FROM AUTO,13
2016,1,30,ROBBERY - CARJACKING,2
2016,1,30,ROBBERY - RESIDENCE,4
2016,1,30,ROBBERY - STREET,3
2016,1,31,AGG. ASSAULT,15
2016,1,31,ARSON,1
2016,1,31,ASSAULT BY THREAT,3
2016,1,31,AUTO THEFT,16
2016,1,31,BURGLARY,9
2016,1,31,COMMON ASSAULT,17
2016,1,31,LARCENY,26
2016,1,31,LARCENY FROM AUTO,12
2016,1,31,ROBBERY - COMMERCIAL,2
2016,1,31,ROBBERY - STREET,4
2016,1,31,SHOOTING,1
2016,2,1,AGG. ASSAULT,9
2016,2,1,ARSON,1
2016,2,1,ASSAULT BY THREAT,1
